site_id,region,CELL_ID,cell_type
549,Greater Accra Region,140-5492,2.00
549,Greater Accra Region,140-5493,2.00
549,Greater Accra Region,140-5494,2.00
549,Greater Accra Region,140-5495,2.00
549,Greater Accra Region,140-5496,2.00
551,Greater Accra Region,140-5511,2.00
551,Greater Accra Region,140-5512,2.00
551,Greater Accra Region,140-5513,2.00
551,Greater Accra Region,140-5514,2.00
551,Greater Accra Region,140-5515,2.00
551,Greater Accra Region,140-5516,2.00
553,Greater Accra Region,140-5531,2.00
553,Greater Accra Region,140-5532,2.00
553,Greater Accra Region,140-5533,2.00
553,Greater Accra Region,140-5534,2.00
553,Greater Accra Region,140-5535,2.00
553,Greater Accra Region,140-5536,2.00
560,Greater Accra Region,140-5601,2.00
560,Greater Accra Region,140-5602,2.00
560,Greater Accra Region,140-5603,2.00
560,Greater Accra Region,140-5604,2.00
560,Greater Accra Region,140-5605,2.00
560,Greater Accra Region,140-5606,2.00
561,Greater Accra Region,140-5611,2.00
561,Greater Accra Region,140-5612,2.00
561,Greater Accra Region,140-5613,2.00
561,Greater Accra Region,140-5614,2.00
561,Greater Accra Region,140-5615,2.00
561,Greater Accra Region,140-5616,2.00
568,Greater Accra Region,140-5681,2.00
568,Greater Accra Region,140-5682,2.00
568,Greater Accra Region,140-5683,2.00
568,Greater Accra Region,140-5684,2.00
568,Greater Accra Region,140-5685,2.00
568,Greater Accra Region,140-5686,2.00
569,Greater Accra Region,140-5691,2.00
569,Greater Accra Region,140-5692,2.00
569,Greater Accra Region,140-5693,2.00
569,Greater Accra Region,140-5694,2.00
569,Greater Accra Region,140-5695,2.00
569,Greater Accra Region,140-5696,2.00
587,Greater Accra Region,140-5871,2.00
587,Greater Accra Region,140-5872,2.00
587,Greater Accra Region,140-5873,2.00
587,Greater Accra Region,140-5874,2.00
587,Greater Accra Region,140-5875,2.00
587,Greater Accra Region,140-5876,2.00
598,Greater Accra Region,140-5981,2.00
598,Greater Accra Region,140-5982,2.00
598,Greater Accra Region,140-5983,2.00
598,Greater Accra Region,140-5984,2.00
598,Greater Accra Region,140-5985,2.00
598,Greater Accra Region,140-5986,2.00
1110,Greater Accra Region,142-11101,2.00
1110,Greater Accra Region,142-11102,2.00
1110,Greater Accra Region,142-11103,2.00
1110,Greater Accra Region,142-11104,2.00
1110,Greater Accra Region,142-11105,2.00
1110,Greater Accra Region,142-11106,2.00
1256,Greater Accra Region,142-12561,2.00
1256,Greater Accra Region,142-12562,2.00
1256,Greater Accra Region,142-12563,2.00
1256,Greater Accra Region,142-12564,2.00
1256,Greater Accra Region,142-12565,2.00
1256,Greater Accra Region,142-12566,2.00
1272,Greater Accra Region,142-12721,2.00
1272,Greater Accra Region,142-12722,2.00
1272,Greater Accra Region,142-12723,2.00
1272,Greater Accra Region,142-12724,2.00
1272,Greater Accra Region,142-12725,2.00
1272,Greater Accra Region,142-12726,2.00
1520,Greater Accra Region,142-15201,2.00
1520,Greater Accra Region,142-15202,2.00
1520,Greater Accra Region,142-15203,2.00
1520,Greater Accra Region,142-15204,2.00
1520,Greater Accra Region,142-15205,2.00
1520,Greater Accra Region,142-15206,2.00
1524,Greater Accra Region,142-15241,2.00
1524,Greater Accra Region,142-15242,2.00
1524,Greater Accra Region,142-15243,2.00
1524,Greater Accra Region,142-15244,2.00
1524,Greater Accra Region,142-15245,2.00
1524,Greater Accra Region,142-15246,2.00
1532,Greater Accra Region,142-15321,2.00
1532,Greater Accra Region,142-15322,2.00
1532,Greater Accra Region,142-15323,2.00
1532,Greater Accra Region,142-15324,2.00
1532,Greater Accra Region,142-15325,2.00
1532,Greater Accra Region,142-15326,2.00
2215,Greater Accra Region,142-22151,2.00
2215,Greater Accra Region,142-22152,2.00
2215,Greater Accra Region,142-22153,2.00
2215,Greater Accra Region,142-22154,2.00
2215,Greater Accra Region,142-22155,2.00
2215,Greater Accra Region,142-22156,2.00
2574,Greater Accra Region,142-25741,2.00
2574,Greater Accra Region,142-25742,2.00
2574,Greater Accra Region,142-25743,2.00
2574,Greater Accra Region,142-25744,2.00
2574,Greater Accra Region,142-25745,2.00
2574,Greater Accra Region,142-25746,2.00
4101,Greater Accra Region,142-41014,2.00
508,Greater Accra Region,142-5081,2.00
508,Greater Accra Region,142-5082,2.00
508,Greater Accra Region,142-5083,2.00
508,Greater Accra Region,142-5084,2.00
508,Greater Accra Region,142-5085,2.00
508,Greater Accra Region,142-5086,2.00
509,Greater Accra Region,142-5091,2.00
509,Greater Accra Region,142-5092,2.00
509,Greater Accra Region,142-5093,2.00
509,Greater Accra Region,142-5094,2.00
509,Greater Accra Region,142-5095,2.00
509,Greater Accra Region,142-5096,2.00
510,Greater Accra Region,142-5101,2.00
510,Greater Accra Region,142-5102,2.00
510,Greater Accra Region,142-5103,2.00
510,Greater Accra Region,142-5104,2.00
510,Greater Accra Region,142-5105,2.00
510,Greater Accra Region,142-5106,2.00
519,Greater Accra Region,142-5191,2.00
519,Greater Accra Region,142-5192,2.00
519,Greater Accra Region,142-5193,2.00
519,Greater Accra Region,142-5194,2.00
519,Greater Accra Region,142-5195,2.00
519,Greater Accra Region,142-5196,2.00
548,Greater Accra Region,142-5481,2.00
548,Greater Accra Region,142-5482,2.00
548,Greater Accra Region,142-5483,2.00
548,Greater Accra Region,142-5484,2.00
548,Greater Accra Region,142-5485,2.00
548,Greater Accra Region,142-5486,2.00
550,Greater Accra Region,142-5501,2.00
550,Greater Accra Region,142-5502,2.00
550,Greater Accra Region,142-5503,2.00
550,Greater Accra Region,142-5504,2.00
550,Greater Accra Region,142-5505,2.00
550,Greater Accra Region,142-5506,2.00
554,Greater Accra Region,142-5541,2.00
554,Greater Accra Region,142-5542,2.00
554,Greater Accra Region,142-5543,2.00
554,Greater Accra Region,142-5544,2.00
554,Greater Accra Region,142-5545,2.00
554,Greater Accra Region,142-5546,2.00
563,Greater Accra Region,142-5631,2.00
563,Greater Accra Region,142-5632,2.00
563,Greater Accra Region,142-5633,2.00
563,Greater Accra Region,142-5634,2.00
563,Greater Accra Region,142-5635,2.00
563,Greater Accra Region,142-5636,2.00
565,Greater Accra Region,142-5651,2.00
565,Greater Accra Region,142-5652,2.00
565,Greater Accra Region,142-5653,2.00
565,Greater Accra Region,142-5654,2.00
565,Greater Accra Region,142-5655,2.00
565,Greater Accra Region,142-5656,2.00
576,Greater Accra Region,142-5761,2.00
576,Greater Accra Region,142-5762,2.00
576,Greater Accra Region,142-5763,2.00
576,Greater Accra Region,142-5764,2.00
576,Greater Accra Region,142-5765,2.00
576,Greater Accra Region,142-5766,2.00
591,Greater Accra Region,142-5911,2.00
591,Greater Accra Region,142-5912,2.00
591,Greater Accra Region,142-5913,2.00
591,Greater Accra Region,142-5914,2.00
591,Greater Accra Region,142-5915,2.00
591,Greater Accra Region,142-5916,2.00
6102,Greater Accra Region,142-61021,2.00
6102,Greater Accra Region,142-61022,2.00
6102,Greater Accra Region,142-61023,2.00
6102,Greater Accra Region,142-61024,2.00
6102,Greater Accra Region,142-61025,2.00
6102,Greater Accra Region,142-61026,2.00
1114,Greater Accra Region,144-11141,2.00
1114,Greater Accra Region,144-11142,2.00
1114,Greater Accra Region,144-11143,2.00
1114,Greater Accra Region,144-11144,2.00
1114,Greater Accra Region,144-11145,2.00
1114,Greater Accra Region,144-11146,2.00
1124,Greater Accra Region,144-11241,2.00
1124,Greater Accra Region,144-11242,2.00
1124,Greater Accra Region,144-11243,2.00
1124,Greater Accra Region,144-11244,2.00
1124,Greater Accra Region,144-11245,2.00
1124,Greater Accra Region,144-11246,2.00
1137,Greater Accra Region,144-11371,2.00
1137,Greater Accra Region,144-11372,2.00
1137,Greater Accra Region,144-11373,2.00
1137,Greater Accra Region,144-11374,2.00
1137,Greater Accra Region,144-11375,2.00
1137,Greater Accra Region,144-11376,2.00
1209,Greater Accra Region,144-12091,2.00
1209,Greater Accra Region,144-12092,2.00
1209,Greater Accra Region,144-12093,2.00
1209,Greater Accra Region,144-12094,2.00
1209,Greater Accra Region,144-12095,2.00
1209,Greater Accra Region,144-12096,2.00
1226,Greater Accra Region,144-12261,2.00
1226,Greater Accra Region,144-12262,2.00
1226,Greater Accra Region,144-12263,2.00
1226,Greater Accra Region,144-12264,2.00
1226,Greater Accra Region,144-12265,2.00
1226,Greater Accra Region,144-12266,2.00
1255,Greater Accra Region,144-12551,2.00
1255,Greater Accra Region,144-12552,2.00
1255,Greater Accra Region,144-12553,2.00
1255,Greater Accra Region,144-12554,2.00
1255,Greater Accra Region,144-12555,2.00
1255,Greater Accra Region,144-12556,2.00
1275,Greater Accra Region,144-12751,2.00
1275,Greater Accra Region,144-12752,2.00
1275,Greater Accra Region,144-12753,2.00
1275,Greater Accra Region,144-12754,2.00
1275,Greater Accra Region,144-12755,2.00
1275,Greater Accra Region,144-12756,2.00
1277,Greater Accra Region,144-12771,2.00
1277,Greater Accra Region,144-12772,2.00
1277,Greater Accra Region,144-12773,2.00
1277,Greater Accra Region,144-12774,2.00
1277,Greater Accra Region,144-12775,2.00
1277,Greater Accra Region,144-12776,2.00
1278,Greater Accra Region,144-12781,2.00
1278,Greater Accra Region,144-12782,2.00
1278,Greater Accra Region,144-12783,2.00
1278,Greater Accra Region,144-12784,2.00
1278,Greater Accra Region,144-12785,2.00
1278,Greater Accra Region,144-12786,2.00
1539,Greater Accra Region,144-15391,2.00
1539,Greater Accra Region,144-15392,2.00
1539,Greater Accra Region,144-15393,2.00
1539,Greater Accra Region,144-15394,2.00
1539,Greater Accra Region,144-15395,2.00
1539,Greater Accra Region,144-15396,2.00
156,Greater Accra Region,144-1561,2.00
156,Greater Accra Region,144-1562,2.00
156,Greater Accra Region,144-1563,2.00
158,Greater Accra Region,144-1581,2.00
158,Greater Accra Region,144-1582,2.00
158,Greater Accra Region,144-1583,2.00
2160,Greater Accra Region,144-21601,2.00
2160,Greater Accra Region,144-21602,2.00
2160,Greater Accra Region,144-21603,2.00
2160,Greater Accra Region,144-21604,2.00
2160,Greater Accra Region,144-21605,2.00
2160,Greater Accra Region,144-21606,2.00
223,Greater Accra Region,144-2231,2.00
223,Greater Accra Region,144-2232,2.00
223,Greater Accra Region,144-2233,2.00
223,Greater Accra Region,144-2234,2.00
223,Greater Accra Region,144-2235,2.00
223,Greater Accra Region,144-2236,2.00
232,Greater Accra Region,144-2321,2.00
232,Greater Accra Region,144-2322,2.00
232,Greater Accra Region,144-2323,2.00
267,Greater Accra Region,144-2671,2.00
267,Greater Accra Region,144-2672,2.00
267,Greater Accra Region,144-2673,2.00
271,Greater Accra Region,144-2711,2.00
271,Greater Accra Region,144-2712,2.00
271,Greater Accra Region,144-2713,2.00
516,Greater Accra Region,144-5161,2.00
516,Greater Accra Region,144-5162,2.00
516,Greater Accra Region,144-5163,2.00
1113,Greater Accra Region,146-11131,2.00
1113,Greater Accra Region,146-11132,2.00
1113,Greater Accra Region,146-11133,2.00
1113,Greater Accra Region,146-11134,2.00
1113,Greater Accra Region,146-11135,2.00
1113,Greater Accra Region,146-11136,2.00
1156,Greater Accra Region,146-11561,2.00
1156,Greater Accra Region,146-11562,2.00
1156,Greater Accra Region,146-11563,2.00
1156,Greater Accra Region,146-11564,2.00
1156,Greater Accra Region,146-11565,2.00
1156,Greater Accra Region,146-11566,2.00
1161,Greater Accra Region,146-11611,2.00
1161,Greater Accra Region,146-11612,2.00
1161,Greater Accra Region,146-11613,2.00
1161,Greater Accra Region,146-11614,2.00
1161,Greater Accra Region,146-11615,2.00
1161,Greater Accra Region,146-11616,2.00
1165,Greater Accra Region,146-11651,2.00
1165,Greater Accra Region,146-11652,2.00
1165,Greater Accra Region,146-11653,2.00
1165,Greater Accra Region,146-11654,2.00
1165,Greater Accra Region,146-11655,2.00
1165,Greater Accra Region,146-11656,2.00
1184,Greater Accra Region,146-11841,2.00
1184,Greater Accra Region,146-11842,2.00
1184,Greater Accra Region,146-11843,2.00
1184,Greater Accra Region,146-11844,2.00
1184,Greater Accra Region,146-11845,2.00
1184,Greater Accra Region,146-11846,2.00
1210,Greater Accra Region,146-12101,2.00
1210,Greater Accra Region,146-12102,2.00
1210,Greater Accra Region,146-12103,2.00
1210,Greater Accra Region,146-12104,2.00
1210,Greater Accra Region,146-12105,2.00
1210,Greater Accra Region,146-12106,2.00
1228,Greater Accra Region,146-12281,2.00
1228,Greater Accra Region,146-12282,2.00
1228,Greater Accra Region,146-12283,2.00
1228,Greater Accra Region,146-12284,2.00
1228,Greater Accra Region,146-12285,2.00
1228,Greater Accra Region,146-12286,2.00
2101,Greater Accra Region,146-21011,2.00
2101,Greater Accra Region,146-21012,2.00
2101,Greater Accra Region,146-21013,2.00
2101,Greater Accra Region,146-21014,2.00
2101,Greater Accra Region,146-21015,2.00
2101,Greater Accra Region,146-21016,2.00
2146,Greater Accra Region,146-21461,2.00
2146,Greater Accra Region,146-21462,2.00
2146,Greater Accra Region,146-21463,2.00
2146,Greater Accra Region,146-21464,2.00
2146,Greater Accra Region,146-21465,2.00
2146,Greater Accra Region,146-21466,2.00
2150,Greater Accra Region,146-21501,2.00
2150,Greater Accra Region,146-21502,2.00
2150,Greater Accra Region,146-21503,2.00
2150,Greater Accra Region,146-21504,2.00
2150,Greater Accra Region,146-21505,2.00
2150,Greater Accra Region,146-21506,2.00
2170,Greater Accra Region,146-21701,2.00
2170,Greater Accra Region,146-21702,2.00
2170,Greater Accra Region,146-21703,2.00
2170,Greater Accra Region,146-21704,2.00
2170,Greater Accra Region,146-21705,2.00
2170,Greater Accra Region,146-21706,2.00
2172,Greater Accra Region,146-21721,2.00
2172,Greater Accra Region,146-21722,2.00
2172,Greater Accra Region,146-21723,2.00
2172,Greater Accra Region,146-21724,2.00
2172,Greater Accra Region,146-21725,2.00
2172,Greater Accra Region,146-21726,2.00
230,Greater Accra Region,146-2301,2.00
230,Greater Accra Region,146-2302,2.00
230,Greater Accra Region,146-2303,2.00
231,Greater Accra Region,146-2311,2.00
231,Greater Accra Region,146-2312,2.00
231,Greater Accra Region,146-2313,2.00
233,Greater Accra Region,146-2331,2.00
233,Greater Accra Region,146-2332,2.00
233,Greater Accra Region,146-2333,2.00
233,Greater Accra Region,146-2334,2.00
233,Greater Accra Region,146-2335,2.00
233,Greater Accra Region,146-2336,2.00
269,Greater Accra Region,146-2691,2.00
269,Greater Accra Region,146-2692,2.00
269,Greater Accra Region,146-2693,2.00
107,Greater Accra Region,150-1071,2.00
107,Greater Accra Region,150-1072,2.00
107,Greater Accra Region,150-1073,2.00
109,Greater Accra Region,150-1091,2.00
109,Greater Accra Region,150-1092,2.00
109,Greater Accra Region,150-1093,2.00
110,Greater Accra Region,150-1101,2.00
110,Greater Accra Region,150-1102,2.00
110,Greater Accra Region,150-1103,2.00
113,Greater Accra Region,150-1131,2.00
113,Greater Accra Region,150-1132,2.00
113,Greater Accra Region,150-1133,2.00
113,Greater Accra Region,150-1134,2.00
113,Greater Accra Region,150-1135,2.00
113,Greater Accra Region,150-1136,2.00
1136,Greater Accra Region,150-11361,2.00
1136,Greater Accra Region,150-11362,2.00
1136,Greater Accra Region,150-11363,2.00
1136,Greater Accra Region,150-11364,2.00
1136,Greater Accra Region,150-11365,2.00
1136,Greater Accra Region,150-11366,2.00
114,Greater Accra Region,150-1141,2.00
114,Greater Accra Region,150-1142,2.00
114,Greater Accra Region,150-1143,2.00
1146,Greater Accra Region,150-11461,2.00
1146,Greater Accra Region,150-11462,2.00
1146,Greater Accra Region,150-11463,2.00
1146,Greater Accra Region,150-11464,2.00
1146,Greater Accra Region,150-11465,2.00
1146,Greater Accra Region,150-11466,2.00
115,Greater Accra Region,150-1151,2.00
115,Greater Accra Region,150-1152,2.00
115,Greater Accra Region,150-1153,2.00
116,Greater Accra Region,150-1161,2.00
116,Greater Accra Region,150-1162,2.00
116,Greater Accra Region,150-1163,2.00
117,Greater Accra Region,150-1171,2.00
117,Greater Accra Region,150-1172,2.00
117,Greater Accra Region,150-1173,2.00
118,Greater Accra Region,150-1181,2.00
118,Greater Accra Region,150-1182,2.00
118,Greater Accra Region,150-1183,2.00
1238,Greater Accra Region,150-12381,2.00
1238,Greater Accra Region,150-12382,2.00
1238,Greater Accra Region,150-12383,2.00
1238,Greater Accra Region,150-12384,2.00
1238,Greater Accra Region,150-12385,2.00
1238,Greater Accra Region,150-12386,2.00
1240,Greater Accra Region,150-12401,2.00
1240,Greater Accra Region,150-12402,2.00
1240,Greater Accra Region,150-12403,2.00
1240,Greater Accra Region,150-12404,2.00
1240,Greater Accra Region,150-12405,2.00
1240,Greater Accra Region,150-12406,2.00
1259,Greater Accra Region,150-12594,2.00
1284,Greater Accra Region,150-12844,2.00
1284,Greater Accra Region,150-12845,2.00
1284,Greater Accra Region,150-12846,2.00
137,Greater Accra Region,150-1371,2.00
137,Greater Accra Region,150-1372,2.00
137,Greater Accra Region,150-1373,2.00
2141,Greater Accra Region,150-21411,2.00
2141,Greater Accra Region,150-21412,2.00
2141,Greater Accra Region,150-21413,2.00
2141,Greater Accra Region,150-21414,2.00
2141,Greater Accra Region,150-21415,2.00
2141,Greater Accra Region,150-21416,2.00
2143,Greater Accra Region,150-21434,2.00
226,Greater Accra Region,150-2261,2.00
226,Greater Accra Region,150-2262,2.00
226,Greater Accra Region,150-2263,2.00
226,Greater Accra Region,150-2264,2.00
226,Greater Accra Region,150-2265,2.00
226,Greater Accra Region,150-2266,2.00
228,Greater Accra Region,150-2281,2.00
228,Greater Accra Region,150-2282,2.00
228,Greater Accra Region,150-2283,2.00
228,Greater Accra Region,150-2284,2.00
228,Greater Accra Region,150-2285,2.00
228,Greater Accra Region,150-2286,2.00
260,Greater Accra Region,150-2601,2.00
260,Greater Accra Region,150-2602,2.00
260,Greater Accra Region,150-2603,2.00
260,Greater Accra Region,150-2604,2.00
260,Greater Accra Region,150-2605,2.00
260,Greater Accra Region,150-2606,2.00
261,Greater Accra Region,150-2611,2.00
261,Greater Accra Region,150-2612,2.00
261,Greater Accra Region,150-2613,2.00
277,Greater Accra Region,150-2771,2.00
277,Greater Accra Region,150-2772,2.00
277,Greater Accra Region,150-2773,2.00
278,Greater Accra Region,150-2781,2.00
278,Greater Accra Region,150-2782,2.00
278,Greater Accra Region,150-2783,2.00
280,Greater Accra Region,150-2801,2.00
280,Greater Accra Region,150-2802,2.00
280,Greater Accra Region,150-2803,2.00
286,Greater Accra Region,150-2864,2.00
286,Greater Accra Region,150-2865,2.00
286,Greater Accra Region,150-2866,2.00
4104,Greater Accra Region,150-41044,2.00
4105,Greater Accra Region,150-41054,2.00
4105,Greater Accra Region,150-41055,2.00
4106,Greater Accra Region,150-41064,2.00
4106,Greater Accra Region,150-41065,2.00
4106,Greater Accra Region,150-41066,2.00
4107,Greater Accra Region,150-41074,2.00
4109,Greater Accra Region,150-41094,2.00
4110,Greater Accra Region,150-41104,2.00
4129,Greater Accra Region,150-41294,2.00
4129,Greater Accra Region,150-41295,2.00
4129,Greater Accra Region,150-41296,2.00
1139,Greater Accra Region,152-11391,2.00
1139,Greater Accra Region,152-11392,2.00
1139,Greater Accra Region,152-11393,2.00
1139,Greater Accra Region,152-11394,2.00
1139,Greater Accra Region,152-11395,2.00
1139,Greater Accra Region,152-11396,2.00
1145,Greater Accra Region,152-11451,2.00
1145,Greater Accra Region,152-11452,2.00
1145,Greater Accra Region,152-11453,2.00
1145,Greater Accra Region,152-11454,2.00
1145,Greater Accra Region,152-11455,2.00
1145,Greater Accra Region,152-11456,2.00
1239,Greater Accra Region,152-12391,2.00
1239,Greater Accra Region,152-12392,2.00
1239,Greater Accra Region,152-12393,2.00
1239,Greater Accra Region,152-12394,2.00
1239,Greater Accra Region,152-12395,2.00
1239,Greater Accra Region,152-12396,2.00
1241,Greater Accra Region,152-12411,2.00
1241,Greater Accra Region,152-12412,2.00
1241,Greater Accra Region,152-12413,2.00
1241,Greater Accra Region,152-12414,2.00
1241,Greater Accra Region,152-12415,2.00
1241,Greater Accra Region,152-12416,2.00
1249,Greater Accra Region,152-12491,2.00
1249,Greater Accra Region,152-12492,2.00
1249,Greater Accra Region,152-12493,2.00
1249,Greater Accra Region,152-12494,2.00
1249,Greater Accra Region,152-12495,2.00
1249,Greater Accra Region,152-12496,2.00
1265,Greater Accra Region,152-12654,2.00
1265,Greater Accra Region,152-12655,2.00
1295,Greater Accra Region,152-12951,2.00
1295,Greater Accra Region,152-12952,2.00
1295,Greater Accra Region,152-12953,2.00
138,Greater Accra Region,152-1381,2.00
138,Greater Accra Region,152-1382,2.00
138,Greater Accra Region,152-1383,2.00
139,Greater Accra Region,152-1391,2.00
139,Greater Accra Region,152-1392,2.00
139,Greater Accra Region,152-1393,2.00
140,Greater Accra Region,152-1401,2.00
140,Greater Accra Region,152-1402,2.00
140,Greater Accra Region,152-1403,2.00
1521,Greater Accra Region,152-15211,2.00
1521,Greater Accra Region,152-15212,2.00
1521,Greater Accra Region,152-15213,2.00
1521,Greater Accra Region,152-15214,2.00
1521,Greater Accra Region,152-15215,2.00
1521,Greater Accra Region,152-15216,2.00
1537,Greater Accra Region,152-15371,2.00
1537,Greater Accra Region,152-15372,2.00
1537,Greater Accra Region,152-15373,2.00
1537,Greater Accra Region,152-15374,2.00
1537,Greater Accra Region,152-15375,2.00
1537,Greater Accra Region,152-15376,2.00
163,Greater Accra Region,152-1631,2.00
163,Greater Accra Region,152-1632,2.00
163,Greater Accra Region,152-1633,2.00
203,Greater Accra Region,152-2031,2.00
203,Greater Accra Region,152-2032,2.00
203,Greater Accra Region,152-2033,2.00
2176,Greater Accra Region,152-21761,2.00
2176,Greater Accra Region,152-21762,2.00
2176,Greater Accra Region,152-21763,2.00
2176,Greater Accra Region,152-21764,2.00
2176,Greater Accra Region,152-21765,2.00
2176,Greater Accra Region,152-21766,2.00
262,Greater Accra Region,152-2621,2.00
262,Greater Accra Region,152-2622,2.00
262,Greater Accra Region,152-2623,2.00
262,Greater Accra Region,152-2624,2.00
262,Greater Accra Region,152-2625,2.00
262,Greater Accra Region,152-2626,2.00
264,Greater Accra Region,152-2641,2.00
264,Greater Accra Region,152-2642,2.00
264,Greater Accra Region,152-2643,2.00
264,Greater Accra Region,152-2644,2.00
264,Greater Accra Region,152-2645,2.00
264,Greater Accra Region,152-2646,2.00
521,Greater Accra Region,152-5211,2.00
521,Greater Accra Region,152-5212,2.00
521,Greater Accra Region,152-5213,2.00
521,Greater Accra Region,152-5214,2.00
521,Greater Accra Region,152-5215,2.00
521,Greater Accra Region,152-5216,2.00
523,Greater Accra Region,152-5231,2.00
523,Greater Accra Region,152-5232,2.00
523,Greater Accra Region,152-5233,2.00
523,Greater Accra Region,152-5234,2.00
523,Greater Accra Region,152-5235,2.00
523,Greater Accra Region,152-5236,2.00
546,Greater Accra Region,152-5461,2.00
546,Greater Accra Region,152-5462,2.00
546,Greater Accra Region,152-5463,2.00
546,Greater Accra Region,152-5464,2.00
546,Greater Accra Region,152-5465,2.00
546,Greater Accra Region,152-5466,2.00
552,Greater Accra Region,152-5521,2.00
552,Greater Accra Region,152-5522,2.00
552,Greater Accra Region,152-5523,2.00
552,Greater Accra Region,152-5524,2.00
552,Greater Accra Region,152-5525,2.00
552,Greater Accra Region,152-5526,2.00
564,Greater Accra Region,152-5641,2.00
564,Greater Accra Region,152-5642,2.00
564,Greater Accra Region,152-5643,2.00
574,Greater Accra Region,152-5741,2.00
574,Greater Accra Region,152-5742,2.00
574,Greater Accra Region,152-5743,2.00
574,Greater Accra Region,152-5744,2.00
574,Greater Accra Region,152-5745,2.00
574,Greater Accra Region,152-5746,2.00
590,Greater Accra Region,152-5901,2.00
590,Greater Accra Region,152-5902,2.00
590,Greater Accra Region,152-5903,2.00
590,Greater Accra Region,152-5904,2.00
590,Greater Accra Region,152-5905,2.00
590,Greater Accra Region,152-5906,2.00
1254,Greater Accra Region,154-12541,2.00
1254,Greater Accra Region,154-12542,2.00
1254,Greater Accra Region,154-12543,2.00
1254,Greater Accra Region,154-12544,2.00
1254,Greater Accra Region,154-12545,2.00
1254,Greater Accra Region,154-12546,2.00
1506,Greater Accra Region,154-15061,2.00
1506,Greater Accra Region,154-15062,2.00
1506,Greater Accra Region,154-15063,2.00
1506,Greater Accra Region,154-15064,2.00
1506,Greater Accra Region,154-15065,2.00
1506,Greater Accra Region,154-15066,2.00
1507,Greater Accra Region,154-15071,2.00
1507,Greater Accra Region,154-15072,2.00
1507,Greater Accra Region,154-15073,2.00
1507,Greater Accra Region,154-15074,2.00
1507,Greater Accra Region,154-15075,2.00
